arm_id	estimator	threshold_years	replicate_index	observed	percentile	p_value	census_af	n_null
chb_nea_selection	tree_truth	30000.0	91	0.31	1.0	0.009900990099009901	0.4514458017627957	100
chb_nea_selection	tree_truth	30000.0	92	0.19	0.98	0.0297029702970297	0.9365238905211072	100
chb_nea_selection	tree_truth	30000.0	93	0.23	1.0	0.009900990099009901	0.5337869182000928	100
chb_nea_selection	tree_truth	30000.0	94	0.13	0.93	0.10891089108910891	0.2764419359826813	100
chb_nea_selection	tree_truth	30000.0	95	0.04	0.085	0.9504950495049505	0.2647672800371115	100
chb_nea_selection	tree_truth	30000.0	96	0.31	1.0	0.009900990099009901	0.8815911550950982	100
chb_nea_selection	tree_truth	30000.0	97	0.31	1.0	0.009900990099009901	0.6948353177671254	100
chb_nea_selection	tree_truth	30000.0	98	0.1	0.75	0.2871287128712871	0.3940776248646977	100
chb_nea_selection	tree_truth	30000.0	99	0.36	1.0	0.009900990099009901	0.8059764960569042	100
chb_nea_selection	tree_truth	40000.0	0	0.39	0.99	0.019801980198019802	0.5221895778568115	100
chb_nea_selection	tree_truth	40000.0	1	0.19	0.46	0.5643564356435643	0.4084969846915107	100
chb_nea_selection	tree_truth	40000.0	2	0.52	1.0	0.009900990099009901	0.6835858976341426	100
chb_nea_selection	tree_truth	40000.0	3	0.98	1.0	0.009900990099009901	0.988286686253286	100
chb_nea_selection	tree_truth	40000.0	4	0.18	0.41	0.6237623762376238	0.2609014999226844	100
chb_nea_selection	tree_truth	40000.0	5	0.45	1.0	0.009900990099009901	0.9552342662749342	100
chb_nea_selection	tree_truth	40000.0	6	0.76	1.0	0.009900990099009901	0.8610638626874904	100
chb_nea_selection	tree_truth	40000.0	7	0.17	0.32	0.7425742574257426	0.5095484768826349	100
chb_nea_selection	tree_truth	40000.0	8	0.42	0.995	0.019801980198019802	0.5911937528993351	100
chb_nea_selection	tree_truth	40000.0	9	0.17	0.32	0.7425742574257426	0.5829982990567496	100
chb_nea_selection	tree_truth	40000.0	10	0.3	0.9	0.12871287128712872	0.5366475954847688	100
chb_nea_selection	tree_truth	40000.0	11	0.2	0.51	0.5247524752475248	0.3570821091696304	100
chb_nea_selection	tree_truth	40000.0	12	0.62	1.0	0.009900990099009901	0.785526519251585	100
chb_nea_selection	tree_truth	40000.0	13	0.4	0.99	0.019801980198019802	0.584042059687645	100
chb_nea_selection	tree_truth	40000.0	14	0.33	0.94	0.06930693069306931	0.1836632132364311	100
chb_nea_selection	tree_truth	40000.0	15	0.37	0.975	0.039603960396039604	0.5114813669398485	100
chb_nea_selection	tree_truth	40000.0	16	0.25	0.77	0.26732673267326734	0.4723596721818463	100
chb_nea_selection	tree_truth	40000.0	17	0.25	0.77	0.26732673267326734	0.3258852636462038	100
chb_nea_selection	tree_truth	40000.0	18	0.24	0.72	0.3069306930693069	0.5679604144116283	100
chb_nea_selection	tree_truth	40000.0	19	0.98	1.0	0.009900990099009901	0.9870882944178136	100
chb_nea_selection	tree_truth	40000.0	20	0.64	1.0	0.009900990099009901	0.7696381629812896	100
chb_nea_selection	tree_truth	40000.0	21	0.62	1.0	0.009900990099009901	0.8194680686562549	100
chb_nea_selection	tree_truth	40000.0	22	0.77	1.0	0.009900990099009901	0.8853409618060925	100
chb_nea_selection	tree_truth	40000.0	23	0.86	1.0	0.009900990099009901	0.9183160661821556	100
chb_nea_selection	tree_truth	40000.0	24	0.6	1.0	0.009900990099009901	0.982024122467914	100
chb_nea_selection	tree_truth	40000.0	25	0.77	1.0	0.009900990099009901	0.8854955930106696	100
chb_nea_selection	tree_truth	40000.0	26	0.6	1.0	0.009900990099009901	0.7403355497139322	100
chb_nea_selection	tree_truth	40000.0	27	0.77	1.0	0.009900990099009901	0.8786531622081336	100
chb_nea_selection	tree_truth	40000.0	28	0.31	0.925	0.0891089108910891	0.5848925313128189	100
chb_nea_selection	tree_truth	40000.0	29	0.17	0.32	0.7425742574257426	0.3212463275088913	100
chb_nea_selection	tree_truth	40000.0	30	0.72	1.0	0.009900990099009901	0.811504561620535	100
chb_nea_selection	tree_truth	40000.0	31	0.17	0.32	0.7425742574257426	0.3004870882944178	100
chb_nea_selection	tree_truth	40000.0	32	0.34	0.955	0.06930693069306931	0.5781274161125716	100
chb_nea_selection	tree_truth	40000.0	33	0.27	0.825	0.18811881188118812	0.5117519715478583	100
chb_nea_selection	tree_truth	40000.0	34	0.59	1.0	0.009900990099009901	0.751430338642338	100
chb_nea_selection	tree_truth	40000.0	35	0.67	1.0	0.009900990099009901	0.8346992423070976	100
chb_nea_selection	tree_truth	40000.0	36	0.32	0.935	0.07920792079207921	0.5864001855574454	100
chb_nea_selection	tree_truth	40000.0	37	0.17	0.32	0.7425742574257426	0.5036724911087057	100
chb_nea_selection	tree_truth	40000.0	38	0.18	0.41	0.6237623762376238	0.3478042368950054	100
chb_nea_selection	tree_truth	40000.0	39	0.51	1.0	0.009900990099009901	0.7315602288541828	100
chb_nea_selection	tree_truth	40000.0	40	0.92	1.0	0.009900990099009901	0.9698082573063244	100
chb_nea_selection	tree_truth	40000.0	41	0.67	1.0	0.009900990099009901	0.8773774547703727	100
chb_nea_selection	tree_truth	40000.0	42	0.69	1.0	0.009900990099009901	0.9688418122777176	100
chb_nea_selection	tree_truth	40000.0	43	0.9	1.0	0.009900990099009901	0.9569738673264264	100
chb_nea_selection	tree_truth	40000.0	44	0.66	1.0	0.009900990099009901	0.804932735426009	100
chb_nea_selection	tree_truth	40000.0	45	0.21	0.57	0.46534653465346537	0.5428328436678522	100
chb_nea_selection	tree_truth	40000.0	46	0.14	0.145	0.8910891089108911	0.44035101283439	100
chb_nea_selection	tree_truth	40000.0	47	0.32	0.935	0.07920792079207921	0.5680377300139168	100
chb_nea_selection	tree_truth	40000.0	48	0.3	0.9	0.12871287128712872	0.4885959486624401	100
chb_nea_selection	tree_truth	40000.0	49	0.59	1.0	0.009900990099009901	0.7110715942477192	100
chb_nea_selection	tree_truth	40000.0	50	0.66	1.0	0.009900990099009901	0.8178057832070512	100
chb_nea_selection	tree_truth	40000.0	51	0.54	1.0	0.009900990099009901	0.8663213236431112	100
chb_nea_selection	tree_truth	40000.0	52	0.31	0.925	0.0891089108910891	0.6150456162053503	100
chb_nea_selection	tree_truth	40000.0	53	0.93	1.0	0.009900990099009901	0.9701175197154784	100
chb_nea_selection	tree_truth	40000.0	54	0.54	1.0	0.009900990099009901	0.9340497912478738	100
chb_nea_selection	tree_truth	40000.0	55	0.43	1.0	0.009900990099009901	0.9662130817999072	100
chb_nea_selection	tree_truth	40000.0	56	0.34	0.955	0.06930693069306931	0.2572676666151229	100
chb_nea_selection	tree_truth	40000.0	57	0.29	0.86	0.16831683168316833	0.4104298747487243	100
chb_nea_selection	tree_truth	40000.0	58	0.71	1.0	0.009900990099009901	0.8376758929952064	100
chb_nea_selection	tree_truth	40000.0	59	0.7	1.0	0.009900990099009901	0.8131668470697386	100
chb_nea_selection	tree_truth	40000.0	60	0.24	0.72	0.3069306930693069	0.5151925158496985	100
chb_nea_selection	tree_truth	40000.0	61	0.94	1.0	0.009900990099009901	0.9654399257770218	100
chb_nea_selection	tree_truth	40000.0	62	0.78	1.0	0.009900990099009901	0.8648909850007731	100
chb_nea_selection	tree_truth	40000.0	63	0.34	0.955	0.06930693069306931	0.5848538735116746	100
chb_nea_selection	tree_truth	40000.0	64	0.54	1.0	0.009900990099009901	0.8720813360136076	100
chb_nea_selection	tree_truth	40000.0	65	0.57	1.0	0.009900990099009901	0.9015772382866862	100
chb_nea_selection	tree_truth	40000.0	66	0.43	1.0	0.009900990099009901	0.9777331065409	100
chb_nea_selection	tree_truth	40000.0	67	0.94	1.0	0.009900990099009901	0.9483145198701098	100
chb_nea_selection	tree_truth	40000.0	68	0.81	1.0	0.009900990099009901	0.9216406370805628	100
chb_nea_selection	tree_truth	40000.0	69	0.37	0.975	0.039603960396039604	0.6320550487088294	100
chb_nea_selection	tree_truth	40000.0	70	0.29	0.86	0.16831683168316833	0.199628885109015	100
chb_nea_selection	tree_truth	40000.0	71	0.14	0.145	0.8910891089108911	0.5279109324261636	100
chb_nea_selection	tree_truth	40000.0	72	0.33	0.94	0.06930693069306931	0.547085201793722	100
chb_nea_selection	tree_truth	40000.0	73	0.48	1.0	0.009900990099009901	0.6801453533323024	100
chb_nea_selection	tree_truth	40000.0	74	0.31	0.925	0.0891089108910891	0.4397711458172259	100
chb_nea_selection	tree_truth	40000.0	75	0.13	0.1	0.9108910891089109	0.4208674810576774	100
chb_nea_selection	tree_truth	40000.0	76	0.48	1.0	0.009900990099009901	0.8951213854955931	100
chb_nea_selection	tree_truth	40000.0	77	0.16	0.245	0.7722772277227723	0.6610097417658883	100
chb_nea_selection	tree_truth	40000.0	78	0.48	1.0	0.009900990099009901	0.6915107468687182	100
chb_nea_selection	tree_truth	40000.0	79	0.73	1.0	0.009900990099009901	0.8746714086902737	100
chb_nea_selection	tree_truth	40000.0	80	0.61	1.0	0.009900990099009901	0.7850239678367095	100
chb_nea_selection	tree_truth	40000.0	81	0.23	0.68	0.3465346534653465	0.2877300139168084	100
chb_nea_selection	tree_truth	40000.0	82	0.17	0.32	0.7425742574257426	0.3602520488634606	100
chb_nea_selection	tree_truth	40000.0	83	0.72	1.0	0.009900990099009901	0.8604066800680378	100
chb_nea_selection	tree_truth	40000.0	84	0.97	1.0	0.009900990099009901	0.9754909540745322	100
chb_nea_selection	tree_truth	40000.0	85	0.32	0.935	0.07920792079207921	0.6387041905056441	100
chb_nea_selection	tree_truth	40000.0	86	0.14	0.145	0.8910891089108911	0.4137931034482758	100
chb_nea_selection	tree_truth	40000.0	87	0.13	0.1	0.9108910891089109	0.4267048090304624	100
chb_nea_selection	tree_truth	40000.0	88	0.47	1.0	0.009900990099009901	0.5925467759393845	100
chb_nea_selection	tree_truth	40000.0	89	0.85	1.0	0.009900990099009901	0.9281738054739448	100
chb_nea_selection	tree_truth	40000.0	90	0.24	0.72	0.3069306930693069	0.6893072522034946	100
chb_nea_selection	tree_truth	40000.0	91	0.34	0.955	0.06930693069306931	0.4514458017627957	100
chb_nea_selection	tree_truth	40000.0	92	0.9	1.0	0.009900990099009901	0.9365238905211072	100
chb_nea_selection	tree_truth	40000.0	93	0.27	0.825	0.18811881188118812	0.5337869182000928	100
chb_nea_selection	tree_truth	40000.0	94	0.22	0.63	0.40594059405940597	0.2764419359826813	100
chb_nea_selection	tree_truth	40000.0	95	0.1	0.035	0.9801980198019802	0.2647672800371115	100
chb_nea_selection	tree_truth	40000.0	96	0.67	1.0	0.009900990099009901	0.8815911550950982	100
chb_nea_selection	tree_truth	40000.0	97	0.32	0.935	0.07920792079207921	0.6948353177671254	100
chb_nea_selection	tree_truth	40000.0	98	0.2	0.51	0.5247524752475248	0.3940776248646977	100
chb_nea_selection	tree_truth	40000.0	99	0.62	1.0	0.009900990099009901	0.8059764960569042	100
chb_nea_selection	tree_truth	50000.0	0	0.4	0.875	0.1485148514851485	0.5221895778568115	100
chb_nea_selection	tree_truth	50000.0	1	0.23	0.255	0.7821782178217822	0.4084969846915107	100
chb_nea_selection	tree_truth	50000.0	2	0.52	0.97	0.039603960396039604	0.6835858976341426	100
chb_nea_selection	tree_truth	50000.0	3	0.99	1.0	0.009900990099009901	0.988286686253286	100
chb_nea_selection	tree_truth	50000.0	4	0.2	0.15	0.8613861386138614	0.2609014999226844	100
chb_nea_selection	tree_truth	50000.0	5	0.45	0.95	0.0594059405940594	0.9552342662749342	100
chb_nea_selection	tree_truth	50000.0	6	0.76	1.0	0.009900990099009901	0.8610638626874904	100
chb_nea_selection	tree_truth	50000.0	7	0.2	0.15	0.8613861386138614	0.5095484768826349	100
chb_nea_selection	tree_truth	50000.0	8	0.44	0.94	0.07920792079207921	0.5911937528993351	100
chb_nea_selection	tree_truth	50000.0	9	0.18	0.1	0.9108910891089109	0.5829982990567496	100
chb_nea_selection	tree_truth	50000.0	10	0.3	0.59	0.43564356435643564	0.5366475954847688	100
chb_nea_selection	tree_truth	50000.0	11	0.24	0.31	0.7128712871287128	0.3570821091696304	100
chb_nea_selection	tree_truth	50000.0	12	0.62	0.995	0.019801980198019802	0.785526519251585	100
chb_nea_selection	tree_truth	50000.0	13	0.41	0.9	0.1188118811881188	0.584042059687645	100
chb_nea_selection	tree_truth	50000.0	14	0.33	0.75	0.26732673267326734	0.1836632132364311	100
chb_nea_selection	tree_truth	50000.0	15	0.44	0.94	0.07920792079207921	0.5114813669398485	100
chb_nea_selection	tree_truth	50000.0	16	0.31	0.64	0.39603960396039606	0.4723596721818463	100
chb_nea_selection	tree_truth	50000.0	17	0.26	0.405	0.6237623762376238	0.3258852636462038	100
chb_nea_selection	tree_truth	50000.0	18	0.35	0.8	0.22772277227722773	0.5679604144116283	100
chb_nea_selection	tree_truth	50000.0	19	0.98	1.0	0.009900990099009901	0.9870882944178136	100
chb_nea_selection	tree_truth	50000.0	20	0.64	1.0	0.009900990099009901	0.7696381629812896	100
chb_nea_selection	tree_truth	50000.0	21	0.62	0.995	0.019801980198019802	0.8194680686562549	100
chb_nea_selection	tree_truth	50000.0	22	0.77	1.0	0.009900990099009901	0.8853409618060925	100
chb_nea_selection	tree_truth	50000.0	23	0.86	1.0	0.009900990099009901	0.9183160661821556	100
chb_nea_selection	tree_truth	50000.0	24	0.97	1.0	0.009900990099009901	0.982024122467914	100
chb_nea_selection	tree_truth	50000.0	25	0.77	1.0	0.009900990099009901	0.8854955930106696	100
chb_nea_selection	tree_truth	50000.0	26	0.61	0.99	0.019801980198019802	0.7403355497139322	100
chb_nea_selection	tree_truth	50000.0	27	0.77	1.0	0.009900990099009901	0.8786531622081336	100
chb_nea_selection	tree_truth	50000.0	28	0.34	0.77	0.24752475247524752	0.5848925313128189	100
chb_nea_selection	tree_truth	50000.0	29	0.18	0.1	0.9108910891089109	0.3212463275088913	100
chb_nea_selection	tree_truth	50000.0	30	0.72	1.0	0.009900990099009901	0.811504561620535	100
chb_nea_selection	tree_truth	50000.0	31	0.17	0.085	0.9207920792079208	0.3004870882944178	100
chb_nea_selection	tree_truth	50000.0	32	0.37	0.83	0.1782178217821782	0.5781274161125716	100
chb_nea_selection	tree_truth	50000.0	33	0.32	0.705	0.33663366336633666	0.5117519715478583	100
chb_nea_selection	tree_truth	50000.0	34	0.59	0.985	0.0297029702970297	0.751430338642338	100
chb_nea_selection	tree_truth	50000.0	35	0.73	1.0	0.009900990099009901	0.8346992423070976	100
chb_nea_selection	tree_truth	50000.0	36	0.34	0.77	0.24752475247524752	0.5864001855574454	100
chb_nea_selection	tree_truth	50000.0	37	0.17	0.085	0.9207920792079208	0.5036724911087057	100
chb_nea_selection	tree_truth	50000.0	38	0.18	0.1	0.9108910891089109	0.3478042368950054	100
chb_nea_selection	tree_truth	50000.0	39	0.51	0.97	0.039603960396039604	0.7315602288541828	100
chb_nea_selection	tree_truth	50000.0	40	0.92	1.0	0.009900990099009901	0.9698082573063244	100
chb_nea_selection	tree_truth	50000.0	41	0.67	1.0	0.009900990099009901	0.8773774547703727	100
chb_nea_selection	tree_truth	50000.0	42	0.69	1.0	0.009900990099009901	0.9688418122777176	100
chb_nea_selection	tree_truth	50000.0	43	0.94	1.0	0.009900990099009901	0.9569738673264264	100
chb_nea_selection	tree_truth	50000.0	44	0.67	1.0	0.009900990099009901	0.804932735426009	100
chb_nea_selection	tree_truth	50000.0	45	0.21	0.165	0.8415841584158416	0.5428328436678522	100
chb_nea_selection	tree_truth	50000.0	46	0.2	0.15	0.8613861386138614	0.44035101283439	100
chb_nea_selection	tree_truth	50000.0	47	0.34	0.77	0.24752475247524752	0.5680377300139168	100
chb_nea_selection	tree_truth	50000.0	48	0.33	0.75	0.26732673267326734	0.4885959486624401	100
chb_nea_selection	tree_truth	50000.0	49	0.59	0.985	0.0297029702970297	0.7110715942477192	100
chb_nea_selection	tree_truth	50000.0	50	0.67	1.0	0.009900990099009901	0.8178057832070512	100
chb_nea_selection	tree_truth	50000.0	51	0.54	0.97	0.039603960396039604	0.8663213236431112	100
chb_nea_selection	tree_truth	50000.0	52	0.32	0.705	0.33663366336633666	0.6150456162053503	100
chb_nea_selection	tree_truth	50000.0	53	0.93	1.0	0.009900990099009901	0.9701175197154784	100
chb_nea_selection	tree_truth	50000.0	54	0.84	1.0	0.009900990099009901	0.9340497912478738	100
chb_nea_selection	tree_truth	50000.0	55	0.97	1.0	0.009900990099009901	0.9662130817999072	100
chb_nea_selection	tree_truth	50000.0	56	0.35	0.8	0.22772277227722773	0.2572676666151229	100
chb_nea_selection	tree_truth	50000.0	57	0.34	0.77	0.24752475247524752	0.4104298747487243	100
chb_nea_selection	tree_truth	50000.0	58	0.72	1.0	0.009900990099009901	0.8376758929952064	100
chb_nea_selection	tree_truth	50000.0	59	0.7	1.0	0.009900990099009901	0.8131668470697386	100
chb_nea_selection	tree_truth	50000.0	60	0.25	0.355	0.6732673267326733	0.5151925158496985	100
chb_nea_selection	tree_truth	50000.0	61	0.94	1.0	0.009900990099009901	0.9654399257770218	100
chb_nea_selection	tree_truth	50000.0	62	0.78	1.0	0.009900990099009901	0.8648909850007731	100
chb_nea_selection	tree_truth	50000.0	63	0.34	0.77	0.24752475247524752	0.5848538735116746	100
chb_nea_selection	tree_truth	50000.0	64	0.54	0.97	0.039603960396039604	0.8720813360136076	100
chb_nea_selection	tree_truth	50000.0	65	0.82	1.0	0.009900990099009901	0.9015772382866862	100
chb_nea_selection	tree_truth	50000.0	66	0.49	0.965	0.04950495049504951	0.9777331065409	100
chb_nea_selection	tree_truth	50000.0	67	0.94	1.0	0.009900990099009901	0.9483145198701098	100
chb_nea_selection	tree_truth	50000.0	68	0.81	1.0	0.009900990099009901	0.9216406370805628	100
chb_nea_selection	tree_truth	50000.0	69	0.42	0.915	0.09900990099009901	0.6320550487088294	100
chb_nea_selection	tree_truth	50000.0	70	0.33	0.75	0.26732673267326734	0.199628885109015	100
chb_nea_selection	tree_truth	50000.0	71	0.14	0.035	0.9702970297029703	0.5279109324261636	100
chb_nea_selection	tree_truth	50000.0	72	0.4	0.875	0.1485148514851485	0.547085201793722	100
chb_nea_selection	tree_truth	50000.0	73	0.5	0.97	0.039603960396039604	0.6801453533323024	100
chb_nea_selection	tree_truth	50000.0	74	0.31	0.64	0.39603960396039606	0.4397711458172259	100
chb_nea_selection	tree_truth	50000.0	75	0.18	0.1	0.9108910891089109	0.4208674810576774	100
chb_nea_selection	tree_truth	50000.0	76	0.8	1.0	0.009900990099009901	0.8951213854955931	100
chb_nea_selection	tree_truth	50000.0	77	0.16	0.075	0.9306930693069307	0.6610097417658883	100
chb_nea_selection	tree_truth	50000.0	78	0.49	0.965	0.04950495049504951	0.6915107468687182	100
chb_nea_selection	tree_truth	50000.0	79	0.73	1.0	0.009900990099009901	0.8746714086902737	100
chb_nea_selection	tree_truth	50000.0	80	0.61	0.99	0.019801980198019802	0.7850239678367095	100
chb_nea_selection	tree_truth	50000.0	81	0.48	0.96	0.04950495049504951	0.2877300139168084	100
chb_nea_selection	tree_truth	50000.0	82	0.21	0.165	0.8415841584158416	0.3602520488634606	100
chb_nea_selection	tree_truth	50000.0	83	0.72	1.0	0.009900990099009901	0.8604066800680378	100
chb_nea_selection	tree_truth	50000.0	84	0.97	1.0	0.009900990099009901	0.9754909540745322	100
chb_nea_selection	tree_truth	50000.0	85	0.34	0.77	0.24752475247524752	0.6387041905056441	100
chb_nea_selection	tree_truth	50000.0	86	0.2	0.15	0.8613861386138614	0.4137931034482758	100
chb_nea_selection	tree_truth	50000.0	87	0.16	0.075	0.9306930693069307	0.4267048090304624	100
chb_nea_selection	tree_truth	50000.0	88	0.53	0.97	0.039603960396039604	0.5925467759393845	100
chb_nea_selection	tree_truth	50000.0	89	0.85	1.0	0.009900990099009901	0.9281738054739448	100
chb_nea_selection	tree_truth	50000.0	90	0.26	0.405	0.6237623762376238	0.6893072522034946	100
chb_nea_selection	tree_truth	50000.0	91	0.38	0.835	0.1782178217821782	0.4514458017627957	100
chb_nea_selection	tree_truth	50000.0	92	0.9	1.0	0.009900990099009901	0.9365238905211072	100
chb_nea_selection	tree_truth	50000.0	93	0.27	0.465	0.5742574257425742	0.5337869182000928	100
chb_nea_selection	tree_truth	50000.0	94	0.24	0.31	0.7128712871287128	0.2764419359826813	100
chb_nea_selection	tree_truth	50000.0	95	0.22	0.195	0.8316831683168316	0.2647672800371115	100
chb_nea_selection	tree_truth	50000.0	96	0.67	1.0	0.009900990099009901	0.8815911550950982	100
chb_nea_selection	tree_truth	50000.0	97	0.32	0.705	0.33663366336633666	0.6948353177671254	100
chb_nea_selection	tree_truth	50000.0	98	0.2	0.15	0.8613861386138614	0.3940776248646977	100
chb_nea_selection	tree_truth	50000.0	99	0.62	0.995	0.019801980198019802	0.8059764960569042	100
